response_id,response_date,quiz_frequency,discovery_source,device,what_matters_most,preferred_question_count,preferred_result_format,would_share_result,would_download_card,would_use_profile_icons,would_retake_to_collect
R0001,2026-01-27,Weekly,Instagram,Mobile,Cute art,5-8,Card + stats,No,Maybe,Maybe,Yes
R0002,2026-01-15,Monthly,Instagram,Mobile,Cute art,9-12,All of these,Maybe,Maybe,Maybe,Yes
R0003,2026-01-24,Weekly,Discord,Desktop,Shareability,17+,Simple card,Maybe,Maybe,Maybe,Yes
R0004,2026-01-06,Weekly,Instagram,Desktop,Speed,9-12,Card + stats,No,Maybe,No,No
R0005,2026-01-02,Weekly,TikTok,Mobile,Accuracy,5-8,Card + stats,Maybe,Yes,Yes,Maybe
R0006,2026-01-09,Weekly,Discord,Mobile,Accuracy,17+,Simple card,Yes,Yes,Maybe,Yes
R0007,2026-01-24,Weekly,Friend/DM,Mobile,Funny results,17+,Simple card,Yes,Yes,Maybe,Maybe
R0008,2026-01-09,Weekly,TikTok,Mobile,Accuracy,5-8,Story paragraph,No,No,Maybe,No
R0009,2026-01-19,Daily,TikTok,Tablet,Shareability,9-12,All of these,Maybe,Maybe,Yes,Yes
R0010,2026-01-10,Weekly,Instagram,Mobile,Speed,9-12,Simple card,Yes,Yes,Maybe,Yes
R0011,2026-01-27,Weekly,Instagram,Tablet,Accuracy,9-12,Simple card,Yes,Yes,Maybe,Yes
R0012,2026-01-29,Daily,TikTok,Mobile,Speed,5-8,Card + stats,Maybe,Yes,No,Yes
R0013,2026-01-08,Weekly,TikTok,Mobile,Accuracy,9-12,All of these,Maybe,Yes,Yes,Yes
R0014,2026-01-14,Weekly,Instagram,Mobile,Speed,5-8,Simple card,No,Maybe,No,Yes
R0015,2026-01-24,Rarely,Discord,Desktop,Shareability,9-12,Simple card,Yes,No,No,No
R0016,2026-01-24,Weekly,Discord,Desktop,Funny results,13-16,Card + stats,Maybe,Maybe,Yes,No
R0017,2026-01-26,Rarely,Instagram,Tablet,Speed,13-16,Simple card,No,Yes,No,Maybe
R0018,2026-01-09,Daily,Instagram,Mobile,Funny results,13-16,All of these,Yes,Yes,No,Yes
